reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,232
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,467
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,690
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,906
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1119
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1331
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1547
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1770
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,2005
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,2259
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,2542
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,2871
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,3286
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,3900
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,4433
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,5053
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,293
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,735
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1170
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,1605
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,2047
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,2504
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,2985
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,3504
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,4083
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,4757
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,5605
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,6863
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,7953
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,9221
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,544
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,1170
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,1796
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,2432
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,3090
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,3783
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,4531
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,5364
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,6335
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,7556
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,9366
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,10937
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,12762
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,17
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,17
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,17
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,17
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,17
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,17
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,17
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,40
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,275
