model,reference_date,horizon,target_end_date,location,observed,median,absolute_error,squared_error,wis,lower_95,upper_95,coverage_95,width_95
ARIMA-persistence ensemble,2025-09-27,1,2025-10-04,US,976,1119,143,20449,321.14625,0,4433,TRUE,4433
ARIMA-persistence ensemble,2025-09-27,2,2025-10-11,US,1016,1170,154,23716,551.6529166666667,0,7953,TRUE,7953
ARIMA-persistence ensemble,2025-09-27,3,2025-10-18,US,1119,1170,51,2601,715.3620833333334,0,10937,TRUE,10937
ARIMA-persistence ensemble,2025-10-04,1,2025-10-11,US,1016,925,91,8281,302.59166666666664,17,4233,TRUE,4216
ARIMA-persistence ensemble,2025-10-04,2,2025-10-18,US,1119,882,237,56169,518.6529166666666,32,7653,TRUE,7621
ARIMA-persistence ensemble,2025-10-04,3,2025-10-25,US,1199,882,317,100489,687.6091666666666,32,10630,TRUE,10598
ARIMA-persistence ensemble,2025-10-11,1,2025-10-18,US,1119,1036,83,6889,309.89583333333337,0,4338,TRUE,4338
ARIMA-persistence ensemble,2025-10-11,2,2025-10-25,US,1199,1063,136,18496,535.83875,0,7821,TRUE,7821
ARIMA-persistence ensemble,2025-10-11,3,2025-11-01,US,1358,1063,295,87025,717.3704166666668,0,10793,TRUE,10793
ARIMA-persistence ensemble,2025-10-18,1,2025-10-25,US,1199,1191,8,64,312.12125,0,4487,TRUE,4487
ARIMA-persistence ensemble,2025-10-18,2,2025-11-01,US,1358,1210,148,21904,553.7641666666667,0,7956,TRUE,7956
ARIMA-persistence ensemble,2025-10-18,3,2025-11-08,US,1787,1210,577,332929,762.4420833333332,0,10923,TRUE,10923
ARIMA-persistence ensemble,2025-10-25,1,2025-11-01,US,1358,1209,149,22201,324.22208333333333,0,4499,TRUE,4499
ARIMA-persistence ensemble,2025-10-25,2,2025-11-08,US,1787,1205,582,338724,601.055,0,7938,TRUE,7938
ARIMA-persistence ensemble,2025-10-25,3,2025-11-15,US,2487,1205,1282,1643524,876.8029166666666,0,10899,TRUE,10899
ARIMA-persistence ensemble,2025-11-01,1,2025-11-08,US,1787,1440,347,120409,361.4233333333334,0,4724,TRUE,4724
ARIMA-persistence ensemble,2025-11-01,2,2025-11-15,US,2487,1476,1011,1022121,711.62125,0,8197,TRUE,8197
ARIMA-persistence ensemble,2025-11-01,3,2025-11-22,US,3584,1476,2108,4443664,1133.6370833333337,0,11153,TRUE,11153
ARIMA-persistence ensemble,2025-11-08,1,2025-11-15,US,2487,2012,475,225625,399.0608333333333,0,5290,TRUE,5290
ARIMA-persistence ensemble,2025-11-08,2,2025-11-22,US,3584,2092,1492,2226064,894.0270833333333,0,8801,TRUE,8801
ARIMA-persistence ensemble,2025-11-08,3,2025-11-29,US,5220,2092,3128,9784384,1586.707916666667,0,11751,TRUE,11751
ARIMA-persistence ensemble,2025-11-15,1,2025-11-22,US,3584,2803,781,609961,492.96833333333325,0,6076,TRUE,6076
ARIMA-persistence ensemble,2025-11-15,2,2025-11-29,US,5220,2903,2317,5368489,1253.475416666667,0,9601,TRUE,9601
ARIMA-persistence ensemble,2025-11-15,3,2025-12-06,US,7449,2903,4546,20666116,2378.55625,0,12547,TRUE,12547
ARIMA-persistence ensemble,2025-11-22,1,2025-11-29,US,5220,4083,1137,1292769,636.2008333333332,816,7350,TRUE,6534
ARIMA-persistence ensemble,2025-11-22,2,2025-12-06,US,7449,4252,3197,10220809,1749.1425,0,10940,TRUE,10940
ARIMA-persistence ensemble,2025-11-22,3,2025-12-13,US,11156,4252,6904,47665216,4022.688749999999,0,13883,TRUE,13883
ARIMA-persistence ensemble,2025-11-29,1,2025-12-06,US,7449,5962,1487,2211169,818.2162499999998,2699,9226,TRUE,6527
ARIMA-persistence ensemble,2025-11-29,2,2025-12-13,US,11156,6207,4949,24492601,2950.34625,0,12889,TRUE,12889
ARIMA-persistence ensemble,2025-11-29,3,2025-12-20,US,21083,6207,14876,221295376,11335.869999999997,0,15830,FALSE,15830
ARIMA-persistence ensemble,2025-12-06,1,2025-12-13,US,11156,8426,2730,7452900,1677.1508333333334,5165,11687,TRUE,6522
ARIMA-persistence ensemble,2025-12-06,2,2025-12-20,US,21083,8738,12345,152399025,9901.949583333333,2058,15417,FALSE,13359
ARIMA-persistence ensemble,2025-12-06,3,2025-12-27,US,37602,8738,28864,833130496,25339.760416666668,0,18361,FALSE,18361
ARIMA-persistence ensemble,2025-12-13,1,2025-12-20,US,21083,12894,8189,67059721,6993.8675,9627,16161,FALSE,6534
ARIMA-persistence ensemble,2025-12-13,2,2025-12-27,US,37602,13507,24095,580569025,21644.13666666667,6807,20207,FALSE,13400
ARIMA-persistence ensemble,2025-12-13,3,2026-01-03,US,42634,13507,29127,848382129,25592.957500000004,3846,23168,FALSE,19322
ARIMA-persistence ensemble,2025-12-20,1,2025-12-27,US,37602,26296,11306,127825636,10068.871666666668,22915,29677,FALSE,6762
ARIMA-persistence ensemble,2025-12-20,2,2026-01-03,US,42634,28318,14316,204947856,11763.0775,21339,35297,FALSE,13958
ARIMA-persistence ensemble,2025-12-20,3,2026-01-10,US,29933,28318,1615,2608225,1293.7666666666667,18212,38424,TRUE,20212
ARIMA-persistence ensemble,2025-12-27,1,2026-01-03,US,42634,46596,3962,15697444,2715.1854166666667,43161,50032,FALSE,6871
ARIMA-persistence ensemble,2025-12-27,2,2026-01-10,US,29933,51461,21528,463454784,18860.1975,44168,58754,FALSE,14586
ARIMA-persistence ensemble,2025-12-27,3,2026-01-17,US,19754,55010,35256,1242985536,31288.219999999998,44163,65857,FALSE,21694
ARIMA-persistence ensemble,2026-01-03,1,2026-01-10,US,29933,41737,11804,139334416,10485.446666666665,38133,45341,FALSE,7208
ARIMA-persistence ensemble,2026-01-03,2,2026-01-17,US,19754,40311,20557,422590249,17809.602916666667,32800,47823,FALSE,15023
ARIMA-persistence ensemble,2026-01-03,3,2026-01-24,US,16819,40311,23492,551874064,19517.3,29445,51177,FALSE,21732
ARIMA-persistence ensemble,2026-01-10,1,2026-01-17,US,19754,20520,766,586756,523.66625,16777,24264,TRUE,7487
ARIMA-persistence ensemble,2026-01-10,2,2026-01-24,US,16819,18762,1943,3775249,1230.5137500000003,10633,26892,TRUE,16259
ARIMA-persistence ensemble,2026-01-10,3,2026-01-31,US,15751,21279,5528,30558784,3047.820833333333,9551,33007,TRUE,23456
ARIMA-persistence ensemble,2026-01-17,1,2026-01-24,US,16819,19686,2867,8219689,1724.6579166666668,15941,23432,TRUE,7491
ARIMA-persistence ensemble,2026-01-17,2,2026-01-31,US,15751,22624,6873,47238129,4248.538750000001,14566,30683,TRUE,16117
ARIMA-persistence ensemble,2026-01-17,3,2026-02-07,US,16121,22399,6278,39413284,3504.1370833333335,10883,33914,TRUE,23031
ARIMA-persistence ensemble,2026-01-24,1,2026-01-31,US,15751,17842,2091,4372281,1171.98125,14090,21593,TRUE,7503
ARIMA-persistence ensemble,2026-01-24,2,2026-02-07,US,16121,17213,1092,1192464,981.9762500000002,9164,25263,TRUE,16099
ARIMA-persistence ensemble,2026-01-24,3,2026-02-14,US,16436,16266,170,28900,1217.881666666667,4712,27820,TRUE,23108
ARIMA-persistence ensemble,2026-01-31,1,2026-02-07,US,16121,13561,2560,6553600,1493.0795833333334,9807,17316,TRUE,7509
ARIMA-persistence ensemble,2026-01-31,2,2026-02-14,US,16436,12257,4179,17464041,2316.1699999999996,4195,20319,TRUE,16124
ARIMA-persistence ensemble,2026-01-31,3,2026-02-21,US,14731,13165,1566,2452356,1406.8504166666664,1623,24708,TRUE,23085
ARIMA-persistence ensemble,2026-02-07,1,2026-02-14,US,16436,16954,518,268324,461.16249999999997,13188,20720,TRUE,7532
ARIMA-persistence ensemble,2026-02-07,2,2026-02-21,US,14731,18366,3635,13213225,1998.6287500000008,10300,26431,TRUE,16131
ARIMA-persistence ensemble,2026-02-07,3,2026-02-28,US,11159,18285,7126,50779876,4068.5858333333326,6756,29814,TRUE,23058
ARIMA-persistence ensemble,2026-02-14,1,2026-02-21,US,14731,17346,2615,6838225,1534.1537500000002,13586,21107,TRUE,7521
ARIMA-persistence ensemble,2026-02-14,2,2026-02-28,US,11159,17155,5996,35952016,3582.8295833333336,9108,25203,TRUE,16095
ARIMA-persistence ensemble,2026-02-14,3,2026-03-07,US,9598,16611,7013,49182169,3995.110833333334,5108,28114,TRUE,23006
ARIMA-persistence ensemble,2026-02-21,1,2026-02-28,US,11159,12652,1493,2229049,824.6679166666668,8885,16420,TRUE,7535
ARIMA-persistence ensemble,2026-02-21,2,2026-03-07,US,9598,11673,2075,4305625,1270.1112500000002,3604,19743,TRUE,16139
ARIMA-persistence ensemble,2026-02-21,3,2026-03-14,US,7793,12219,4426,19589476,2449.2137500000003,837,23742,TRUE,22905
ARIMA-persistence ensemble,2026-02-28,1,2026-03-07,US,9598,9673,75,5625,398.1708333333334,5911,13435,TRUE,7524
ARIMA-persistence ensemble,2026-02-28,2,2026-03-14,US,7793,10097,2304,5308416,1358.3279166666666,2034,18161,TRUE,16127
ARIMA-persistence ensemble,2026-02-28,3,2026-03-21,US,6088,10315,4227,17867529,2346.0441666666666,281,21835,TRUE,21554
ARIMA-persistence ensemble,2026-03-07,1,2026-03-14,US,7793,10294,2501,6255001,1449.310416666667,6539,14050,TRUE,7511
ARIMA-persistence ensemble,2026-03-07,2,2026-03-21,US,6088,10578,4490,20160100,2517.16875,2529,18626,TRUE,16097
ARIMA-persistence ensemble,2026-03-07,3,2026-03-28,US,3306,10256,6950,48302500,3948.3312499999997,0,21751,TRUE,21751
ARIMA-persistence ensemble,2026-03-14,1,2026-03-21,US,6088,6279,191,36481,407.81374999999997,2517,10040,TRUE,7523
ARIMA-persistence ensemble,2026-03-14,2,2026-03-28,US,3306,5493,2187,4782969,1285.2133333333334,767,13551,TRUE,12784
ARIMA-persistence ensemble,2026-03-14,3,2026-04-04,US,2901,5748,2847,8105409,1701.32,681,17263,TRUE,16582
ARIMA-persistence ensemble,2026-03-21,1,2026-03-28,US,3306,5506,2200,4840000,1244.5366666666666,1751,9261,TRUE,7510
ARIMA-persistence ensemble,2026-03-21,2,2026-04-04,US,2901,5819,2918,8514724,1613.2695833333337,90,13863,TRUE,13773
ARIMA-persistence ensemble,2026-03-21,3,2026-04-11,US,2235,5977,3742,14002564,2078.544166666667,37,17471,TRUE,17434
ARIMA-persistence ensemble,2026-03-28,1,2026-04-04,US,2901,2310,591,349281,463.66333333333336,332,6066,TRUE,5734
ARIMA-persistence ensemble,2026-03-28,2,2026-04-11,US,2235,2114,121,14641,684.4108333333334,397,10157,TRUE,9760
ARIMA-persistence ensemble,2026-03-28,3,2026-04-18,US,1941,2067,126,15876,884.4008333333333,413,13565,TRUE,13152
ARIMA-persistence ensemble,2026-04-04,1,2026-04-11,US,2235,3316,1081,1168561,633.6891666666666,0,7066,TRUE,7066
ARIMA-persistence ensemble,2026-04-04,2,2026-04-18,US,1941,3451,1510,2280100,1031.1091666666666,0,11476,TRUE,11476
ARIMA-persistence ensemble,2026-04-04,3,2026-04-25,US,1877,3473,1596,2547216,1258.1120833333332,0,14939,TRUE,14939
ARIMA-persistence ensemble,2026-04-11,1,2026-04-18,US,1941,1574,367,134689,395.21125,220,5321,TRUE,5101
ARIMA-persistence ensemble,2026-04-11,2,2026-04-25,US,1877,1356,521,271441,642.2487500000001,293,9366,TRUE,9073
ARIMA-persistence ensemble,2026-04-11,3,2026-05-02,US,1649,1388,261,68121,814.4908333333333,282,12832,TRUE,12550
ARIMA-persistence ensemble,2026-04-18,1,2026-04-25,US,1877,2110,233,54289,396.66875,0,5851,TRUE,5851
ARIMA-persistence ensemble,2026-04-18,2,2026-05-02,US,1649,2255,606,367236,775.3508333333331,0,10252,TRUE,10252
ARIMA-persistence ensemble,2026-04-18,3,2026-05-09,US,1473,2281,808,652864,1017.2533333333336,0,13708,TRUE,13708
ARIMA-persistence ensemble,2026-04-25,1,2026-05-02,US,1649,1831,182,33124,385.29833333333335,15,5565,TRUE,5550
ARIMA-persistence ensemble,2026-04-25,2,2026-05-09,US,1473,1796,323,104329,702.0825,27,9779,TRUE,9752
ARIMA-persistence ensemble,2026-04-25,3,2026-05-16,US,1306,1748,442,195364,911.6225,43,13157,TRUE,13114
ARIMA-persistence ensemble,2026-05-02,1,2026-05-09,US,1473,1502,29,841,359.4629166666666,49,5230,TRUE,5181
ARIMA-persistence ensemble,2026-05-02,2,2026-05-16,US,1306,1417,111,12321,638.1625,77,9387,TRUE,9310
ARIMA-persistence ensemble,2026-05-02,3,2026-05-23,US,1250,1470,220,48400,854.5379166666667,60,12859,TRUE,12799
ARIMA-persistence ensemble,2026-05-09,1,2026-05-16,US,1306,1402,96,9216,361.2666666666667,24,5124,TRUE,5100
ARIMA-persistence ensemble,2026-05-09,2,2026-05-23,US,1250,1457,207,42849,658.7383333333333,5,9413,TRUE,9408
ARIMA-persistence ensemble,2026-05-09,3,2026-05-30,US,1060,1464,404,163216,876.7370833333333,3,12834,TRUE,12831
ARIMA-persistence ensemble,2026-05-16,1,2026-05-23,US,1250,1314,64,4096,355.1429166666667,0,5029,TRUE,5029
ARIMA-persistence ensemble,2026-05-16,2,2026-05-30,US,1060,1304,244,59536,643.3454166666667,0,9247,TRUE,9247
