model,reference_date,horizon,target_end_date,location,observed,median,absolute_error,squared_error,wis,lower_95,upper_95,coverage_95,width_95
ARIMAX: surveillance + seasonal,2025-09-27,1,2025-10-04,US,976,1501,525,275625,585.8591666666667,0,7626,TRUE,7626
ARIMAX: surveillance + seasonal,2025-09-27,2,2025-10-11,US,1016,3132,2116,4477456,1362.2416666666666,0,14534,TRUE,14534
ARIMAX: surveillance + seasonal,2025-09-27,3,2025-10-18,US,1119,5200,4081,16654561,2285.13375,0,20149,TRUE,20149
ARIMAX: surveillance + seasonal,2025-10-04,1,2025-10-11,US,1016,2428,1412,1993744,857.2366666666667,0,8490,TRUE,8490
ARIMAX: surveillance + seasonal,2025-10-04,2,2025-10-18,US,1119,4498,3379,11417641,1874.5600000000004,0,15778,TRUE,15778
ARIMAX: surveillance + seasonal,2025-10-04,3,2025-10-25,US,1199,6788,5589,31236921,3014.5941666666663,0,21574,TRUE,21574
ARIMAX: surveillance + seasonal,2025-10-11,1,2025-10-18,US,1119,2298,1179,1390041,771.3770833333332,0,8307,TRUE,8307
ARIMAX: surveillance + seasonal,2025-10-11,2,2025-10-25,US,1199,4551,3352,11235904,1863.9816666666668,0,15750,TRUE,15750
ARIMAX: surveillance + seasonal,2025-10-11,3,2025-11-01,US,1358,7232,5874,34503876,3169.3412499999995,0,21929,TRUE,21929
ARIMAX: surveillance + seasonal,2025-10-18,1,2025-10-25,US,1199,2637,1438,2067844,869.0066666666667,0,8594,TRUE,8594
ARIMAX: surveillance + seasonal,2025-10-18,2,2025-11-01,US,1358,5226,3868,14961424,2103.2304166666663,0,16337,TRUE,16337
ARIMAX: surveillance + seasonal,2025-10-18,3,2025-11-08,US,1787,8163,6376,40653376,3449.779583333333,0,22755,TRUE,22755
ARIMAX: surveillance + seasonal,2025-10-25,1,2025-11-01,US,1358,2896,1538,2365444,907.0591666666666,0,8806,TRUE,8806
ARIMAX: surveillance + seasonal,2025-10-25,2,2025-11-08,US,1787,5700,3913,15311569,2138.367083333333,0,16735,TRUE,16735
ARIMAX: surveillance + seasonal,2025-10-25,3,2025-11-15,US,2487,9114,6627,43917129,3612.938333333333,0,23632,TRUE,23632
ARIMAX: surveillance + seasonal,2025-11-01,1,2025-11-08,US,1787,3194,1407,1979649,868.2383333333333,0,9060,TRUE,9060
ARIMAX: surveillance + seasonal,2025-11-01,2,2025-11-15,US,2487,6469,3982,15856324,2186.210833333333,0,17446,TRUE,17446
ARIMAX: surveillance + seasonal,2025-11-01,3,2025-11-22,US,3584,9817,6233,38850289,3392.4395833333333,0,24285,TRUE,24285
ARIMAX: surveillance + seasonal,2025-11-08,1,2025-11-15,US,2487,4177,1690,2856100,983.1341666666668,0,9998,TRUE,9998
ARIMAX: surveillance + seasonal,2025-11-08,2,2025-11-22,US,3584,7359,3775,14250625,2093.776666666666,0,18272,TRUE,18272
ARIMAX: surveillance + seasonal,2025-11-08,3,2025-11-29,US,5220,10769,5549,30791401,3054.5908333333336,0,25184,TRUE,25184
ARIMAX: surveillance + seasonal,2025-11-15,1,2025-11-22,US,3584,4861,1277,1630729,836.3316666666668,0,10638,TRUE,10638
ARIMAX: surveillance + seasonal,2025-11-15,2,2025-11-29,US,5220,8134,2914,8491396,1737.7320833333335,0,19013,TRUE,19013
ARIMAX: surveillance + seasonal,2025-11-15,3,2025-12-06,US,7449,11573,4124,17007376,2417.0958333333333,0,25982,TRUE,25982
ARIMAX: surveillance + seasonal,2025-11-22,1,2025-11-29,US,5220,6062,842,708964,714.6020833333333,330,11793,TRUE,11463
ARIMAX: surveillance + seasonal,2025-11-22,2,2025-12-06,US,7449,9361,1912,3655744,1423.7695833333335,0,20167,TRUE,20167
ARIMAX: surveillance + seasonal,2025-11-22,3,2025-12-13,US,11156,12641,1485,2205225,1657.4304166666668,0,26979,TRUE,26979
ARIMAX: surveillance + seasonal,2025-11-29,1,2025-12-06,US,7449,7952,503,253009,645.5683333333333,2269,13635,TRUE,11366
ARIMAX: surveillance + seasonal,2025-11-29,2,2025-12-13,US,11156,11106,50,2500,1120.6766666666667,376,21836,TRUE,21460
ARIMAX: surveillance + seasonal,2025-11-29,3,2025-12-20,US,21083,14174,6909,47734281,3812.817083333333,0,28433,TRUE,28433
ARIMAX: surveillance + seasonal,2025-12-06,1,2025-12-13,US,11156,10269,887,786769,717.9366666666666,4635,15903,TRUE,11268
ARIMAX: surveillance + seasonal,2025-12-06,2,2025-12-20,US,21083,13257,7826,61246276,4660.077916666666,2611,23902,TRUE,21291
ARIMAX: surveillance + seasonal,2025-12-06,3,2025-12-27,US,37602,16003,21599,466516801,16419.35583333333,1845,30161,FALSE,28316
ARIMAX: surveillance + seasonal,2025-12-13,1,2025-12-20,US,21083,14727,6356,40398736,4334.383333333333,9137,20317,FALSE,11180
ARIMAX: surveillance + seasonal,2025-12-13,2,2025-12-27,US,37602,17599,20003,400120009,16141.627499999997,7043,28155,FALSE,21112
ARIMAX: surveillance + seasonal,2025-12-13,3,2026-01-03,US,42634,19703,22931,525830761,17799.743749999998,5675,33730,FALSE,28055
ARIMAX: surveillance + seasonal,2025-12-20,1,2025-12-27,US,37602,28106,9496,90174016,7387.992499999999,22343,33869,FALSE,11526
ARIMAX: surveillance + seasonal,2025-12-20,2,2026-01-03,US,42634,30948,11686,136562596,7810.96625,20079,41818,FALSE,21739
ARIMAX: surveillance + seasonal,2025-12-20,3,2026-01-10,US,29933,29448,485,235225,1538.3187500000001,15070,43825,TRUE,28755
ARIMAX: surveillance + seasonal,2025-12-27,1,2026-01-03,US,42634,48529,5895,34751025,3802.490416666667,42483,54574,TRUE,12091
ARIMAX: surveillance + seasonal,2025-12-27,2,2026-01-10,US,29933,48846,18913,357701569,14383.722500000002,36465,61227,FALSE,24762
ARIMAX: surveillance + seasonal,2025-12-27,3,2026-01-17,US,19754,44882,25128,631416384,18834.395833333332,27678,62086,FALSE,34408
ARIMAX: surveillance + seasonal,2026-01-03,1,2026-01-10,US,29933,39468,9535,90916225,7273.3812499999995,33286,45649,FALSE,12363
ARIMAX: surveillance + seasonal,2026-01-03,2,2026-01-17,US,19754,37104,17350,301022500,12980.695000000002,25160,49048,FALSE,23888
ARIMAX: surveillance + seasonal,2026-01-03,3,2026-01-24,US,16819,34404,17585,309232225,11923.94208333333,18685,50122,FALSE,31437
ARIMAX: surveillance + seasonal,2026-01-10,1,2026-01-17,US,19754,21215,1461,2134521,951.0341666666667,14742,27688,TRUE,12946
ARIMAX: surveillance + seasonal,2026-01-10,2,2026-01-24,US,16819,20210,3391,11498881,2036.5391666666665,7584,32836,TRUE,25252
ARIMAX: surveillance + seasonal,2026-01-10,3,2026-01-31,US,15751,20942,5191,26946481,2964.5295833333334,4715,37170,TRUE,32455
ARIMAX: surveillance + seasonal,2026-01-17,1,2026-01-24,US,16819,17779,960,921600,806.0899999999998,11351,24207,TRUE,12856
ARIMAX: surveillance + seasonal,2026-01-17,2,2026-01-31,US,15751,18707,2956,8737936,1886.4820833333335,6137,31278,TRUE,25141
