covariate_set,lag_weeks,reference_date,horizon,target_end_date,observed,median,absolute_error,squared_error
NSSP only,3,2025-09-27,1,2025-10-04,976,1164.6664864932804,188.66648649328044,35595.043125719174
NSSP only,3,2025-09-27,2,2025-10-11,1016,1393.6958039530557,377.6958039530557,142654.1203237451
NSSP only,3,2025-09-27,3,2025-10-18,1119,1242.4196152017048,123.4196152017048,15232.401416536883
NSSP only,3,2025-10-04,1,2025-10-11,1016,1058.799899916145,42.79989991614502,1831.8314328320307
NSSP only,3,2025-10-04,2,2025-10-18,1119,875.7966659012653,243.20333409873467,59147.86171674076
NSSP only,3,2025-10-04,3,2025-10-25,1199,733.8334683567471,465.16653164325294,216379.90216101345
NSSP only,3,2025-10-11,1,2025-10-18,1119,799.8162636314119,319.18373636858814,101878.25756221238
NSSP only,3,2025-10-11,2,2025-10-25,1199,650.6653331345472,548.3346668654528,300670.90688644716
NSSP only,3,2025-10-11,3,2025-11-01,1358,705.6072810188784,652.3927189811216,425616.25977958064
NSSP only,3,2025-10-18,1,2025-10-25,1199,1217.4580322894171,18.458032289417133,340.6989559971655
NSSP only,3,2025-10-18,2,2025-11-01,1358,1325.9443687842163,32.055631215783706,1027.5634926423268
NSSP only,3,2025-10-18,3,2025-11-08,1787,1220.691691486139,566.308308513861,320705.1002918304
NSSP only,3,2025-10-25,1,2025-11-01,1358,1293.1978752134441,64.80212478655585,4199.315376852356
NSSP only,3,2025-10-25,2,2025-11-08,1787,1184.8340539046758,602.1659460953242,362603.8266368769
NSSP only,3,2025-10-25,3,2025-11-15,2487,922.2346619887619,1564.765338011238,2448490.5630414244
NSSP only,3,2025-11-01,1,2025-11-08,1787,1299.8780228565379,487.1219771434621,237287.82061615563
NSSP only,3,2025-11-01,2,2025-11-15,2487,1048.1869360167188,1438.8130639832812,2070183.0330889574
NSSP only,3,2025-11-01,3,2025-11-22,3584,1193.4185704659244,2390.5814295340756,5714879.571233184
NSSP only,3,2025-11-08,1,2025-11-15,2487,1913.5181369549232,573.4818630450768,328881.44724165223
NSSP only,3,2025-11-08,2,2025-11-22,3584,2141.0408640277947,1442.9591359722053,2082131.0680856532
NSSP only,3,2025-11-08,3,2025-11-29,5220,2132.312440316907,3087.687559683093,9533814.466221733
NSSP only,3,2025-11-15,1,2025-11-22,3584,3159.8807907516984,424.11920924830156,179877.1036534046
NSSP only,3,2025-11-15,2,2025-11-29,5220,3248.4578820492698,1971.5421179507302,3886978.322853651
NSSP only,3,2025-11-15,3,2025-12-06,7449,3212.7430628159727,4236.256937184027,17945872.837839797
NSSP only,3,2025-11-22,1,2025-11-29,5220,4002.069487030361,1217.930512969639,1483354.7344224881
NSSP only,3,2025-11-22,2,2025-12-06,7449,4038.8590222676225,3410.1409777323775,11629061.488009535
NSSP only,3,2025-11-22,3,2025-12-13,11156,4248.614232394923,6907.385767605077,47711978.14251317
