reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,2
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,124
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,390
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,708
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1015
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1318
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1620
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1928
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,2246
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,2580
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,2942
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,3345
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,3813
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,4404
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,5279
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,6037
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,6920
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,41
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,446
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,988
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,1580
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,2163
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,2746
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,3338
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,3951
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,4596
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,5292
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,6068
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,6971
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,8108
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,9794
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,11256
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,12955
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,28
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,600
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,1130
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,1634
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,2405
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,3197
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,3990
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,4794
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,5626
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,6504
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,7450
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,8504
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,9732
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,11277
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,13568
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,15555
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,17864
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,175
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,419
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,751
