model,reference_date,horizon,n_prior_errors,calibration_probability,interval_multiplier,calibration_source
Calibrated blend,2025-09-27,1,0,0.9,1,insufficient prior errors
Calibrated blend,2025-09-27,2,0,0.9,1,insufficient prior errors
Calibrated blend,2025-09-27,3,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-04,1,1,0.9,1,insufficient prior errors
Calibrated blend,2025-10-04,2,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-04,3,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-11,1,2,0.9,1,insufficient prior errors
Calibrated blend,2025-10-11,2,1,0.9,1,insufficient prior errors
Calibrated blend,2025-10-11,3,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-18,1,3,0.9,1,insufficient prior errors
Calibrated blend,2025-10-18,2,2,0.9,1,insufficient prior errors
Calibrated blend,2025-10-18,3,1,0.9,1,insufficient prior errors
Calibrated blend,2025-10-25,1,4,0.9,1,insufficient prior errors
Calibrated blend,2025-10-25,2,3,0.9,1,insufficient prior errors
Calibrated blend,2025-10-25,3,2,0.9,1,insufficient prior errors
Calibrated blend,2025-11-01,1,5,0.9,1,insufficient prior errors
Calibrated blend,2025-11-01,2,4,0.9,1,insufficient prior errors
Calibrated blend,2025-11-01,3,3,0.9,1,insufficient prior errors
Calibrated blend,2025-11-08,1,6,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-08,2,5,0.9,1,insufficient prior errors
Calibrated blend,2025-11-08,3,4,0.9,1,insufficient prior errors
Calibrated blend,2025-11-15,1,7,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-15,2,6,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-15,3,5,0.9,1,insufficient prior errors
Calibrated blend,2025-11-22,1,8,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-22,2,7,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-22,3,6,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-29,1,9,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-29,2,8,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-29,3,7,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-06,1,10,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-06,2,9,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-06,3,8,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-13,1,11,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-13,2,10,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-13,3,9,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-20,1,12,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-20,2,11,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-20,3,10,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-27,1,13,0.9,1.7995686082218914,prior horizon-specific errors
Calibrated blend,2025-12-27,2,12,0.9,1.7502682477466904,prior horizon-specific errors
Calibrated blend,2025-12-27,3,11,0.9,1.5971946747311774,prior horizon-specific errors
Calibrated blend,2026-01-03,1,14,0.9,1.7425025871192164,prior horizon-specific errors
Calibrated blend,2026-01-03,2,13,0.9,1.7704582718844715,prior horizon-specific errors
Calibrated blend,2026-01-03,3,12,0.9,2.1595498623706497,prior horizon-specific errors
Calibrated blend,2026-01-10,1,15,0.9,2.1674860924278523,prior horizon-specific errors
Calibrated blend,2026-01-10,2,14,0.9,2.256890949033926,prior horizon-specific errors
Calibrated blend,2026-01-10,3,13,0.9,2.1557623761685525,prior horizon-specific errors
Calibrated blend,2026-01-17,1,16,0.9,2.1660411705264826,prior horizon-specific errors
Calibrated blend,2026-01-17,2,15,0.9,2.220902787763211,prior horizon-specific errors
Calibrated blend,2026-01-17,3,14,0.9,2.1985172702374207,prior horizon-specific errors
Calibrated blend,2026-01-24,1,17,0.9,2.1284787970918253,prior horizon-specific errors
Calibrated blend,2026-01-24,2,16,0.9,2.1849146264924966,prior horizon-specific errors
Calibrated blend,2026-01-24,3,15,0.9,2.1910151333567542,prior horizon-specific errors
Calibrated blend,2026-01-31,1,18,0.9,2.072857697890519,prior horizon-specific errors
Calibrated blend,2026-01-31,2,17,0.9,2.156620931044446,prior horizon-specific errors
Calibrated blend,2026-01-31,3,16,0.9,2.1835129964760878,prior horizon-specific errors
Calibrated blend,2026-02-07,1,19,0.9,2.0172365986892133,prior horizon-specific errors
Calibrated blend,2026-02-07,2,18,0.9,2.1321744685077295,prior horizon-specific errors
Calibrated blend,2026-02-07,3,17,0.9,2.178487293381134,prior horizon-specific errors
Calibrated blend,2026-02-14,1,20,0.9,1.9616154994879098,prior horizon-specific errors
Calibrated blend,2026-02-14,2,19,0.9,2.107728005971012,prior horizon-specific errors
Calibrated blend,2026-02-14,3,18,0.9,2.1746998071790373,prior horizon-specific errors
Calibrated blend,2026-02-21,1,21,0.9,1.905994400286604,prior horizon-specific errors
Calibrated blend,2026-02-21,2,20,0.9,2.0832815434342957,prior horizon-specific errors
Calibrated blend,2026-02-21,3,19,0.9,2.1709123209769405,prior horizon-specific errors
Calibrated blend,2026-02-28,1,22,0.9,1.8503733010852983,prior horizon-specific errors
Calibrated blend,2026-02-28,2,21,0.9,2.058835080897578,prior horizon-specific errors
Calibrated blend,2026-02-28,3,20,0.9,2.1671248347748433,prior horizon-specific errors
Calibrated blend,2026-03-07,1,23,0.9,1.7947522018839943,prior horizon-specific errors
Calibrated blend,2026-03-07,2,22,0.9,2.034388618360861,prior horizon-specific errors
Calibrated blend,2026-03-07,3,21,0.9,2.1633373485727465,prior horizon-specific errors
Calibrated blend,2026-03-14,1,24,0.9,1.7391311026826888,prior horizon-specific errors
Calibrated blend,2026-03-14,2,23,0.9,2.009942155824145,prior horizon-specific errors
Calibrated blend,2026-03-14,3,22,0.9,2.1595498623706497,prior horizon-specific errors
Calibrated blend,2026-03-21,1,25,0.9,1.683510003481385,prior horizon-specific errors
Calibrated blend,2026-03-21,2,24,0.9,1.9854956932874273,prior horizon-specific errors
Calibrated blend,2026-03-21,3,23,0.9,2.155762376168553,prior horizon-specific errors
Calibrated blend,2026-03-28,1,26,0.9,1.6278889042800793,prior horizon-specific errors
Calibrated blend,2026-03-28,2,25,0.9,1.961049230750711,prior horizon-specific errors
