model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost quantile,2025-09-27,1,265,2025-10-04,2020-09-05,2025-09-27,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-09-27,2,264,2025-10-11,2020-09-12,2025-09-27,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-09-27,3,263,2025-10-18,2020-09-19,2025-09-27,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-04,1,266,2025-10-11,2020-09-05,2025-10-04,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-04,2,265,2025-10-18,2020-09-12,2025-10-04,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-04,3,264,2025-10-25,2020-09-19,2025-10-04,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-11,1,267,2025-10-18,2020-09-05,2025-10-11,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-11,2,266,2025-10-25,2020-09-12,2025-10-11,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-11,3,265,2025-11-01,2020-09-19,2025-10-11,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-18,1,268,2025-10-25,2020-09-05,2025-10-18,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-18,2,267,2025-11-01,2020-09-12,2025-10-18,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-18,3,266,2025-11-08,2020-09-19,2025-10-18,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-25,1,269,2025-11-01,2020-09-05,2025-10-25,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-25,2,268,2025-11-08,2020-09-12,2025-10-25,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-10-25,3,267,2025-11-15,2020-09-19,2025-10-25,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-11-01,1,270,2025-11-08,2020-09-05,2025-11-01,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-11-01,2,269,2025-11-15,2020-09-12,2025-11-01,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-11-01,3,268,2025-11-22,2020-09-19,2025-11-01,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-11-08,1,271,2025-11-15,2020-09-05,2025-11-08,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-11-08,2,270,2025-11-22,2020-09-12,2025-11-08,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
XGBoost quantile,2025-11-08,3,269,2025-11-29,2020-09-19,2025-11-08,300,0.05,3,0.8,0.8,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2
