reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,328
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,693
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,879
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,920
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,1039
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,1072
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,1087
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,1118
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,1118
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,1125
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1132
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1171
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1181
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1187
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1195
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,1214
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,1272
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,1291
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,1307
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,1359
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,1395
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,1450
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,4840
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,406
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,610
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,902
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,990
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,1047
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,1048
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,1154
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,1237
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,1272
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1275
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,1277
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1332
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,1366
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,1415
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,1472
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,1515
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,1531
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,1730
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,1733
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,1745
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,1794
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,1807
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,7210
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,313
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,614
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,793
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,1010
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,1140
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,1249
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,1345
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,1455
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,1596
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,1623
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,1726
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,1794
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,1947
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,1953
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,1971
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,2000
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,2087
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,2112
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,2186
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,2282
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,2567
