model,reference_date,horizon,target_end_date,location,observed,median,absolute_error,squared_error,wis,lower_95,upper_95,coverage_95,width_95
XGBoost quantile,2025-09-27,1,2025-10-04,US,976,1171,195,38025,118.38291666666665,693,1450,TRUE,757
XGBoost quantile,2025-09-27,2,2025-10-11,US,1016,1332,316,99856,192.92208333333335,610,1807,TRUE,1197
XGBoost quantile,2025-09-27,3,2025-10-18,US,1119,1794,675,455625,364.76874999999995,614,2693,TRUE,2079
XGBoost quantile,2025-10-04,1,2025-10-11,US,1016,1172,156,24336,86.79374999999999,730,1577,TRUE,847
XGBoost quantile,2025-10-04,2,2025-10-18,US,1119,1374,255,65025,154.69125,669,2256,TRUE,1587
XGBoost quantile,2025-10-04,3,2025-10-25,US,1199,1764,565,319225,295.58750000000003,652,3310,TRUE,2658
XGBoost quantile,2025-10-11,1,2025-10-18,US,1119,1200,81,6561,56.297083333333326,686,1807,TRUE,1121
XGBoost quantile,2025-10-11,2,2025-10-25,US,1199,1483,284,80656,205.3083333333333,648,3018,TRUE,2370
XGBoost quantile,2025-10-11,3,2025-11-01,US,1358,1933,575,330625,386.3258333333333,651,3819,TRUE,3168
XGBoost quantile,2025-10-18,1,2025-10-25,US,1199,1328,129,16641,89.23833333333334,687,2225,TRUE,1538
XGBoost quantile,2025-10-18,2,2025-11-01,US,1358,1706,348,121104,211.29750000000004,602,3198,TRUE,2596
XGBoost quantile,2025-10-18,3,2025-11-08,US,1787,2343,556,309136,322.68041666666664,625,4574,TRUE,3949
XGBoost quantile,2025-10-25,1,2025-11-01,US,1358,1515,157,24649,92.83916666666669,781,2353,TRUE,1572
XGBoost quantile,2025-10-25,2,2025-11-08,US,1787,2094,307,94249,182.78541666666663,671,3444,TRUE,2773
XGBoost quantile,2025-10-25,3,2025-11-15,US,2487,2718,231,53361,260.2945833333333,684,5481,TRUE,4797
XGBoost quantile,2025-11-01,1,2025-11-08,US,1787,1654,133,17689,103.93999999999998,744,2526,TRUE,1782
XGBoost quantile,2025-11-01,2,2025-11-15,US,2487,2082,405,164025,264.8954166666666,851,3744,TRUE,2893
XGBoost quantile,2025-11-01,3,2025-11-22,US,3584,2731,853,727609,522.2387499999999,667,7078,TRUE,6411
XGBoost quantile,2025-11-08,1,2025-11-15,US,2487,2248,239,57121,168.42499999999998,774,3118,TRUE,2344
XGBoost quantile,2025-11-08,2,2025-11-22,US,3584,2816,768,589824,473.5741666666666,677,4447,TRUE,3770
XGBoost quantile,2025-11-08,3,2025-11-29,US,5220,3476,1744,3041536,949.5345833333334,638,8781,TRUE,8143
XGBoost quantile,2025-11-15,1,2025-11-22,US,3584,2768,816,665856,490.5958333333333,813,4673,TRUE,3860
XGBoost quantile,2025-11-15,2,2025-11-29,US,5220,3793,1427,2036329,955.3033333333334,729,6547,TRUE,5818
XGBoost quantile,2025-11-15,3,2025-12-06,US,7449,4594,2855,8151025,1727.1029166666665,707,8838,TRUE,8131
XGBoost quantile,2025-11-22,1,2025-11-29,US,5220,4189,1031,1062961,555.9266666666666,737,5627,TRUE,4890
XGBoost quantile,2025-11-22,2,2025-12-06,US,7449,5829,1620,2624400,991.8483333333334,657,7741,TRUE,7084
XGBoost quantile,2025-11-22,3,2025-12-13,US,11156,8519,2637,6953769,2068.209583333333,689,10624,FALSE,9935
XGBoost quantile,2025-11-29,1,2025-12-06,US,7449,6365,1084,1175056,786.5470833333335,773,7422,FALSE,6649
XGBoost quantile,2025-11-29,2,2025-12-13,US,11156,8114,3042,9253764,2133.8229166666665,656,10357,FALSE,9701
XGBoost quantile,2025-11-29,3,2025-12-20,US,21083,13364,7719,59582961,6439.652916666667,734,18131,FALSE,17397
XGBoost quantile,2025-12-06,1,2025-12-13,US,11156,8488,2668,7118224,1548.6704166666668,713,10886,FALSE,10173
XGBoost quantile,2025-12-06,2,2025-12-20,US,21083,13809,7274,52911076,6256.435416666667,627,17634,FALSE,17007
XGBoost quantile,2025-12-06,3,2025-12-27,US,37602,18023,19579,383337241,13622.185833333337,727,33301,FALSE,32574
XGBoost quantile,2025-12-13,1,2025-12-20,US,21083,13420,7663,58721569,5140.13375,776,19149,FALSE,18373
XGBoost quantile,2025-12-13,2,2025-12-27,US,37602,20275,17327,300224929,12105.670416666668,742,33473,FALSE,32731
XGBoost quantile,2025-12-13,3,2026-01-03,US,42634,20999,21635,468073225,15645.27166666667,759,39425,FALSE,38666
XGBoost quantile,2025-12-20,1,2025-12-27,US,37602,20867,16735,280060225,11219.71875,888,31195,FALSE,30307
XGBoost quantile,2025-12-20,2,2026-01-03,US,42634,20227,22407,502073649,15455.801666666668,717,40965,FALSE,40248
XGBoost quantile,2025-12-20,3,2026-01-10,US,29933,18678,11255,126675025,7301.5250000000005,724,41082,TRUE,40358
XGBoost quantile,2025-12-27,1,2026-01-03,US,42634,29181,13453,180983209,8155.101666666666,2584,43200,TRUE,40616
XGBoost quantile,2025-12-27,2,2026-01-10,US,29933,28472,1461,2134521,3120.6979166666665,683,49152,TRUE,48469
XGBoost quantile,2025-12-27,3,2026-01-17,US,19754,30572,10818,117029124,5647.239166666666,697,48543,TRUE,47846
XGBoost quantile,2026-01-03,1,2026-01-10,US,29933,40394,10461,109432521,5790.222916666667,743,53012,TRUE,52269
XGBoost quantile,2026-01-03,2,2026-01-17,US,19754,37689,17935,321664225,8419.08791666667,791,51456,TRUE,50665
XGBoost quantile,2026-01-03,3,2026-01-24,US,16819,36300,19481,379509361,9532.098333333333,720,51646,TRUE,50926
XGBoost quantile,2026-01-10,1,2026-01-17,US,19754,33732,13978,195384484,7193.879166666667,800,47018,TRUE,46218
XGBoost quantile,2026-01-10,2,2026-01-24,US,16819,33743,16924,286421776,8352.588333333333,744,46300,TRUE,45556
XGBoost quantile,2026-01-10,3,2026-01-31,US,15751,31653,15902,252873604,7494.701250000001,728,44911,TRUE,44183
XGBoost quantile,2026-01-17,1,2026-01-24,US,16819,20774,3955,15642025,3235.271250000001,786,35937,TRUE,35151
XGBoost quantile,2026-01-17,2,2026-01-31,US,15751,20625,4874,23755876,3178.619583333333,775,43904,TRUE,43129
