model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost + leading indicators,2025-09-27,1,58,2025-10-04,2024-08-24,2025-09-27,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-09-27,2,58,2025-10-11,2024-08-24,2025-09-27,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-09-27,3,58,2025-10-18,2024-08-24,2025-09-27,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-04,1,59,2025-10-11,2024-08-24,2025-10-04,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-04,2,59,2025-10-18,2024-08-24,2025-10-04,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-04,3,59,2025-10-25,2024-08-24,2025-10-04,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-11,1,60,2025-10-18,2024-08-24,2025-10-11,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-11,2,60,2025-10-25,2024-08-24,2025-10-11,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-11,3,60,2025-11-01,2024-08-24,2025-10-11,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-18,1,61,2025-10-25,2024-08-24,2025-10-18,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-18,2,61,2025-11-01,2024-08-24,2025-10-18,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-18,3,61,2025-11-08,2024-08-24,2025-10-18,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-25,1,62,2025-11-01,2024-08-24,2025-10-25,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2025-10-25,2,62,2025-11-08,2024-08-24,2025-10-25,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
