reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,454
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,635
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,718
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,766
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,782
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,860
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,872
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,887
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,903
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,920
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,943
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,987
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1026
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1038
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1076
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,1087
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,1200
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,1238
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,1247
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,2142
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,7016
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,18334
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,19366
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,129
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,307
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,329
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,494
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,565
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,699
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,726
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,764
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,791
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,892
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,976
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1027
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,1102
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,1238
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,1322
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,1660
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,1988
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,2012
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,2326
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,2593
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,5218
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,17869
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,21708
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,304
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,329
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,513
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,626
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,774
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,814
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,817
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,822
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,916
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,1013
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,1089
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,1352
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,1821
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,1953
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,2040
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,2207
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,2268
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,2340
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,4168
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,4259
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,8842
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,22355
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,25866
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,339
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,444
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,481
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,637
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,731
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,787
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,797
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,819
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,912
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.4,923
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.45,931
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.5,962
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.55,1072
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.6,1095
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.65,1143
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.7,1368
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.75,1393
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.8,1586
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.85,1687
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.9,1901
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.95,4917
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.975,18334
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.99,18780
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.01,277
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.025,387
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.05,397
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.1,443
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.15,663
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.2,666
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.25,704
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.3,847
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.35,871
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.4,892
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.45,902
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.5,914
