model,reference_date,horizon,target_end_date,location,observed,median,absolute_error,squared_error,wis,lower_95,upper_95,coverage_95,width_95
XGBoost + leading indicators,2025-09-27,1,2025-10-04,US,976,987,11,121,127.29541666666667,635,18334,TRUE,17699
XGBoost + leading indicators,2025-09-27,2,2025-10-11,US,1016,1027,11,121,217.6825,307,17869,TRUE,17562
XGBoost + leading indicators,2025-09-27,3,2025-10-18,US,1119,1352,233,54289,375.8641666666667,329,22355,TRUE,22026
XGBoost + leading indicators,2025-10-04,1,2025-10-11,US,1016,962,54,2916,155.32166666666666,444,18334,TRUE,17890
XGBoost + leading indicators,2025-10-04,2,2025-10-18,US,1119,914,205,42025,232.69875000000002,387,21708,TRUE,21321
XGBoost + leading indicators,2025-10-04,3,2025-10-25,US,1199,1287,88,7744,342.29875,324,22557,TRUE,22233
XGBoost + leading indicators,2025-10-11,1,2025-10-18,US,1119,1019,100,10000,126.15333333333332,445,18191,TRUE,17746
XGBoost + leading indicators,2025-10-11,2,2025-10-25,US,1199,1256,57,3249,240.1966666666667,446,21224,TRUE,20778
XGBoost + leading indicators,2025-10-11,3,2025-11-01,US,1358,1545,187,34969,259.75708333333336,357,22326,TRUE,21969
XGBoost + leading indicators,2025-10-18,1,2025-10-25,US,1199,1177,22,484,136.51875,462,16623,TRUE,16161
XGBoost + leading indicators,2025-10-18,2,2025-11-01,US,1358,1667,309,95481,261.1679166666667,449,18822,TRUE,18373
XGBoost + leading indicators,2025-10-18,3,2025-11-08,US,1787,2356,569,323761,452.0925,434,22098,TRUE,21664
XGBoost + leading indicators,2025-10-25,1,2025-11-01,US,1358,1252,106,11236,156.39958333333334,473,16560,TRUE,16087
XGBoost + leading indicators,2025-10-25,2,2025-11-08,US,1787,2154,367,134689,285.595,442,17562,TRUE,17120
XGBoost + leading indicators,2025-10-25,3,2025-11-15,US,2487,3096,609,370881,520.1729166666667,304,19557,TRUE,19253
XGBoost + leading indicators,2025-11-01,1,2025-11-08,US,1787,2002,215,46225,206.09958333333336,462,16079,TRUE,15617
XGBoost + leading indicators,2025-11-01,2,2025-11-15,US,2487,2756,269,72361,320.4229166666667,362,19943,TRUE,19581
XGBoost + leading indicators,2025-11-01,3,2025-11-22,US,3584,4372,788,620944,500.26416666666665,404,20404,TRUE,20000
XGBoost + leading indicators,2025-11-08,1,2025-11-15,US,2487,2275,212,44944,254.10875000000001,462,15845,TRUE,15383
XGBoost + leading indicators,2025-11-08,2,2025-11-22,US,3584,3254,330,108900,393.75875,331,15910,TRUE,15579
XGBoost + leading indicators,2025-11-08,3,2025-11-29,US,5220,5107,113,12769,519.2266666666667,400,17692,TRUE,17292
XGBoost + leading indicators,2025-11-15,1,2025-11-22,US,3584,2985,599,358801,340.51375,462,13579,TRUE,13117
XGBoost + leading indicators,2025-11-15,2,2025-11-29,US,5220,3948,1272,1617984,716.4662500000003,326,12341,TRUE,12015
XGBoost + leading indicators,2025-11-15,3,2025-12-06,US,7449,5983,1466,2149156,1160.0433333333333,391,17387,TRUE,16996
XGBoost + leading indicators,2025-11-22,1,2025-11-29,US,5220,4471,749,561001,451.0108333333333,477,12777,TRUE,12300
