model,horizon,n_forecasts,mae,rmse,mean_wis,coverage_95,mean_width_95
Activity 8 current final,1,34,1980.235294117647,3648.4633832373224,1333.1781250000001,0.9411764705882353,10908.617647058823
Activity 5 ensemble,1,34,1859.1764705882354,3446.426375929984,1494.1756740196079,0.8823529411764706,6243.5
Original ARIMA,1,34,1954.1764705882354,3404.72344907863,1547.4478921568627,0.8823529411764706,6257.294117647059
XGBoost quantile,1,34,2604.9411764705883,5092.187562970416,1649.6413848039215,0.8823529411764706,13476.441176470587
XGBoost + leading indicators,1,34,2599.735294117647,4918.740707443199,1762.5560416666667,0.9117647058823529,20657.676470588234
XGBoost quantile,2,34,3374.029411764706,6723.13138045238,2296.5439338235296,0.8823529411764706,17240.382352941175
Activity 8 current final,2,34,3374.029411764706,6723.13138045238,2296.5439338235296,0.8823529411764706,17240.382352941175
XGBoost + leading indicators,2,34,5149.941176470588,8815.174163305666,3004.309117647059,0.9411764705882353,24411.764705882353
Activity 5 ensemble,2,34,4364.676470588235,7732.303216339344,3484.6099019607846,0.8529411764705882,12060.764705882353
Original ARIMA,2,34,4407.705882352941,7925.581225670827,3531.9532720588236,0.8529411764705882,12096.558823529413
XGBoost quantile,3,34,4024.294117647059,7365.864052186554,2666.560931372549,0.8823529411764706,18209.882352941175
Activity 8 current final,3,34,4024.294117647059,7365.864052186554,2666.560931372549,0.8823529411764706,18209.882352941175
XGBoost + leading indicators,3,34,6272.264705882353,10170.137405804366,3437.2272058823532,0.9411764705882353,29447.823529411766
Activity 5 ensemble,3,34,6071.823529411765,10939.74238055637,4837.2592769607845,0.8529411764705882,16627.264705882353
Original ARIMA,3,34,6102.235294117647,11355.898811786295,4914.413370098039,0.8529411764705882,16682.617647058825
