reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,54
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,483
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,890
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1284
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1672
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,2060
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,2454
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,2861
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,3290
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,3754
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,4269
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,4871
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,5627
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,6748
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,7721
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,8851
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,269
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,1083
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1856
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,2603
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,3339
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,4074
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,4821
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,5594
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,6408
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,7286
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,8264
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,9405
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,10839
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,12966
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,14810
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,16954
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,239
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,1414
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,2503
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,3536
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,4536
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,5520
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,6504
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,7504
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,8537
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,9626
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,10801
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,12110
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,13635
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,15554
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,18399
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,20866
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,23735
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,320
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,778
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,1203
