model,reference_date,horizon,n_prior_errors,calibration_probability,interval_multiplier,calibration_source
Calibrated ARIMAX,2025-09-27,1,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-09-27,2,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-09-27,3,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-04,1,1,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-04,2,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-04,3,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-11,1,2,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-11,2,1,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-11,3,0,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-18,1,3,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-18,2,2,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-18,3,1,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-25,1,4,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-25,2,3,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-10-25,3,2,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-01,1,5,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-01,2,4,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-01,3,3,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-08,1,6,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-08,2,5,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-08,3,4,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-15,1,7,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-15,2,6,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-15,3,5,0.9,1,insufficient prior errors
Calibrated ARIMAX,2025-11-22,1,8,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-22,2,7,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-22,3,6,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-29,1,9,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-29,2,8,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-11-29,3,7,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-06,1,10,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-06,2,9,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-06,3,8,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-13,1,11,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-13,2,10,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-13,3,9,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-20,1,12,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-20,2,11,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-20,3,10,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2025-12-27,1,13,0.9,1.3139293367711629,prior horizon-specific errors
Calibrated ARIMAX,2025-12-27,2,12,0.9,1.215411642792981,prior horizon-specific errors
Calibrated ARIMAX,2025-12-27,3,11,0.9,1.0488946553357157,prior horizon-specific errors
Calibrated ARIMAX,2026-01-03,1,14,0.9,1.2678309413899402,prior horizon-specific errors
Calibrated ARIMAX,2026-01-03,2,13,0.9,1.3053659098374144,prior horizon-specific errors
Calibrated ARIMAX,2026-01-03,3,12,0.9,1.5238584136016988,prior horizon-specific errors
Calibrated ARIMAX,2026-01-10,1,15,0.9,1.445786900891954,prior horizon-specific errors
Calibrated ARIMAX,2026-01-10,2,14,0.9,1.5485729784071431,prior horizon-specific errors
Calibrated ARIMAX,2026-01-10,3,13,0.9,1.5106996663574985,prior horizon-specific errors
Calibrated ARIMAX,2026-01-17,1,16,0.9,1.425540931074183,prior horizon-specific errors
Calibrated ARIMAX,2026-01-17,2,15,0.9,1.5041189750798023,prior horizon-specific errors
Calibrated ARIMAX,2026-01-17,3,14,0.9,1.5186349623925455,prior horizon-specific errors
Calibrated ARIMAX,2026-01-24,1,17,0.9,1.4015573240926258,prior horizon-specific errors
Calibrated ARIMAX,2026-01-24,2,16,0.9,1.4596649717524632,prior horizon-specific errors
Calibrated ARIMAX,2026-01-24,3,15,0.9,1.5082276120978124,prior horizon-specific errors
Calibrated ARIMAX,2026-01-31,1,18,0.9,1.3757048985291753,prior horizon-specific errors
Calibrated ARIMAX,2026-01-31,2,17,0.9,1.432920643228413,prior horizon-specific errors
Calibrated ARIMAX,2026-01-31,3,16,0.9,1.4978202618030794,prior horizon-specific errors
Calibrated ARIMAX,2026-02-07,1,19,0.9,1.3498524729657246,prior horizon-specific errors
Calibrated ARIMAX,2026-02-07,2,18,0.9,1.415031152106009,prior horizon-specific errors
Calibrated ARIMAX,2026-02-07,3,17,0.9,1.49251688040519,prior horizon-specific errors
Calibrated ARIMAX,2026-02-14,1,20,0.9,1.324000047402275,prior horizon-specific errors
Calibrated ARIMAX,2026-02-14,2,19,0.9,1.3971416609836051,prior horizon-specific errors
Calibrated ARIMAX,2026-02-14,3,18,0.9,1.4897654834557228,prior horizon-specific errors
Calibrated ARIMAX,2026-02-21,1,21,0.9,1.2981476218388244,prior horizon-specific errors
Calibrated ARIMAX,2026-02-21,2,20,0.9,1.3792521698612017,prior horizon-specific errors
Calibrated ARIMAX,2026-02-21,3,19,0.9,1.4870140865062558,prior horizon-specific errors
Calibrated ARIMAX,2026-02-28,1,22,0.9,1.272295196275374,prior horizon-specific errors
Calibrated ARIMAX,2026-02-28,2,21,0.9,1.3613626787387978,prior horizon-specific errors
Calibrated ARIMAX,2026-02-28,3,20,0.9,1.4842626895567888,prior horizon-specific errors
Calibrated ARIMAX,2026-03-07,1,23,0.9,1.246442770711924,prior horizon-specific errors
Calibrated ARIMAX,2026-03-07,2,22,0.9,1.343473187616394,prior horizon-specific errors
Calibrated ARIMAX,2026-03-07,3,21,0.9,1.4815112926073215,prior horizon-specific errors
Calibrated ARIMAX,2026-03-14,1,24,0.9,1.2205903451484734,prior horizon-specific errors
Calibrated ARIMAX,2026-03-14,2,23,0.9,1.3255836964939904,prior horizon-specific errors
Calibrated ARIMAX,2026-03-14,3,22,0.9,1.4787598956578545,prior horizon-specific errors
Calibrated ARIMAX,2026-03-21,1,25,0.9,1.1947379195850238,prior horizon-specific errors
Calibrated ARIMAX,2026-03-21,2,24,0.9,1.3076942053715868,prior horizon-specific errors
Calibrated ARIMAX,2026-03-21,3,23,0.9,1.4760084987083872,prior horizon-specific errors
Calibrated ARIMAX,2026-03-28,1,26,0.9,1.1688854940215732,prior horizon-specific errors
Calibrated ARIMAX,2026-03-28,2,25,0.9,1.2898047142491833,prior horizon-specific errors
Calibrated ARIMAX,2026-03-28,3,24,0.9,1.4732571017589202,prior horizon-specific errors
Calibrated ARIMAX,2026-04-04,1,27,0.9,1.1381343403198108,prior horizon-specific errors
Calibrated ARIMAX,2026-04-04,2,26,0.9,1.2719152231267794,prior horizon-specific errors
Calibrated ARIMAX,2026-04-04,3,25,0.9,1.4705057048094532,prior horizon-specific errors
Calibrated ARIMAX,2026-04-11,1,28,0.9,1.1049338225488936,prior horizon-specific errors
Calibrated ARIMAX,2026-04-11,2,27,0.9,1.2491122796445402,prior horizon-specific errors
Calibrated ARIMAX,2026-04-11,3,26,0.9,1.4677543078599862,prior horizon-specific errors
Calibrated ARIMAX,2026-04-18,1,29,0.9,1.0717333047779753,prior horizon-specific errors
Calibrated ARIMAX,2026-04-18,2,28,0.9,1.2238526099823837,prior horizon-specific errors
Calibrated ARIMAX,2026-04-18,3,27,0.9,1.4393113329881397,prior horizon-specific errors
Calibrated ARIMAX,2026-04-25,1,30,0.9,1.0385327870070582,prior horizon-specific errors
Calibrated ARIMAX,2026-04-25,2,29,0.9,1.1985929403202262,prior horizon-specific errors
Calibrated ARIMAX,2026-04-25,3,28,0.9,1.3980225691551043,prior horizon-specific errors
Calibrated ARIMAX,2026-05-02,1,31,0.9,1.0053322692361397,prior horizon-specific errors
Calibrated ARIMAX,2026-05-02,2,30,0.9,1.17333327065807,prior horizon-specific errors
Calibrated ARIMAX,2026-05-02,3,29,0.9,1.3567338053220679,prior horizon-specific errors
Calibrated ARIMAX,2026-05-09,1,32,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2026-05-09,2,31,0.9,1.1480736009959127,prior horizon-specific errors
Calibrated ARIMAX,2026-05-09,3,30,0.9,1.3154450414890324,prior horizon-specific errors
Calibrated ARIMAX,2026-05-16,1,33,0.9,1,prior horizon-specific errors
Calibrated ARIMAX,2026-05-16,2,32,0.9,1.1228139313337546,prior horizon-specific errors
Calibrated ARIMAX,2026-05-16,3,31,0.9,1.2741562776559956,prior horizon-specific errors
