reference_date,n_training_weeks,training_start,training_end,arima_order
2025-09-27,58,2024-08-24,2025-09-27,"(1,0,2)"
2025-10-04,59,2024-08-24,2025-10-04,"(1,0,2)"
2025-10-11,60,2024-08-24,2025-10-11,"(1,0,2)"
2025-10-18,61,2024-08-24,2025-10-18,"(1,0,2)"
2025-10-25,62,2024-08-24,2025-10-25,"(1,0,2)"
2025-11-01,63,2024-08-24,2025-11-01,"(1,0,2)"
2025-11-08,64,2024-08-24,2025-11-08,"(1,0,2)"
2025-11-15,65,2024-08-24,2025-11-15,"(1,0,2)"
2025-11-22,66,2024-08-24,2025-11-22,"(1,0,2)"
2025-11-29,67,2024-08-24,2025-11-29,"(1,0,2)"
2025-12-06,68,2024-08-24,2025-12-06,"(1,0,2)"
2025-12-13,69,2024-08-24,2025-12-13,"(1,0,2)"
2025-12-20,70,2024-08-24,2025-12-20,"(1,0,2)"
2025-12-27,71,2024-08-24,2025-12-27,"(1,0,2)"
2026-01-03,72,2024-08-24,2026-01-03,"(1,0,2)"
2026-01-10,73,2024-08-24,2026-01-10,"(1,0,2)"
2026-01-17,74,2024-08-24,2026-01-17,"(1,0,2)"
2026-01-24,75,2024-08-24,2026-01-24,"(1,0,2)"
2026-01-31,76,2024-08-24,2026-01-31,"(1,0,2)"
2026-02-07,77,2024-08-24,2026-02-07,"(1,0,2)"
2026-02-14,78,2024-08-24,2026-02-14,"(1,0,2)"
2026-02-21,79,2024-08-24,2026-02-21,"(1,0,2)"
2026-02-28,80,2024-08-24,2026-02-28,"(1,0,2)"
2026-03-07,81,2024-08-24,2026-03-07,"(1,0,2)"
2026-03-14,82,2024-08-24,2026-03-14,"(1,0,2)"
2026-03-21,83,2024-08-24,2026-03-21,"(1,0,2)"
2026-03-28,84,2024-08-24,2026-03-28,"(1,0,2)"
2026-04-04,85,2024-08-24,2026-04-04,"(1,0,2)"
2026-04-11,86,2024-08-24,2026-04-11,"(1,0,2)"
2026-04-18,87,2024-08-24,2026-04-18,"(1,0,2)"
2026-04-25,88,2024-08-24,2026-04-25,"(1,0,2)"
2026-05-02,89,2024-08-24,2026-05-02,"(1,0,2)"
2026-05-09,90,2024-08-24,2026-05-09,"(1,0,2)"
2026-05-16,91,2024-08-24,2026-05-16,"(1,0,2)"
