model,reference_date,horizon,target_end_date,location,observed,median,absolute_error,squared_error,wis,lower_95,upper_95,coverage_95,width_95
ARIMAX: surveillance + seasonal,2025-09-27,1,2025-10-04,US,976,1672,696,484416,623.87375,0,7721,TRUE,7721
ARIMAX: surveillance + seasonal,2025-09-27,2,2025-10-11,US,1016,3339,2323,5396329,1436.8783333333338,0,14810,TRUE,14810
ARIMAX: surveillance + seasonal,2025-09-27,3,2025-10-18,US,1119,5520,4401,19368801,2442.0333333333333,0,20866,TRUE,20866
ARIMAX: surveillance + seasonal,2025-10-04,1,2025-10-11,US,1016,2380,1364,1860496,835.5870833333333,0,8367,TRUE,8367
ARIMAX: surveillance + seasonal,2025-10-04,2,2025-10-18,US,1119,4533,3414,11655396,1892.5937500000007,0,15883,TRUE,15883
ARIMAX: surveillance + seasonal,2025-10-04,3,2025-10-25,US,1199,6983,5784,33454656,3118.5249999999996,0,22158,TRUE,22158
ARIMAX: surveillance + seasonal,2025-10-11,1,2025-10-18,US,1119,2349,1230,1512900,787.1608333333335,0,8284,TRUE,8284
ARIMAX: surveillance + seasonal,2025-10-11,2,2025-10-25,US,1199,4709,3510,12320100,1938.5679166666666,0,15977,TRUE,15977
ARIMAX: surveillance + seasonal,2025-10-11,3,2025-11-01,US,1358,7573,6215,38626225,3350.5387499999993,0,22663,TRUE,22663
ARIMAX: surveillance + seasonal,2025-10-18,1,2025-10-25,US,1199,2652,1453,2111209,870.6758333333333,0,8536,TRUE,8536
ARIMAX: surveillance + seasonal,2025-10-18,2,2025-11-01,US,1358,5340,3982,15856324,2163.566666666666,0,16524,TRUE,16524
ARIMAX: surveillance + seasonal,2025-10-18,3,2025-11-08,US,1787,8494,6707,44983849,3637.245000000001,0,23482,TRUE,23482
ARIMAX: surveillance + seasonal,2025-10-25,1,2025-11-01,US,1358,2938,1580,2496400,919.77875,0,8775,TRUE,8775
ARIMAX: surveillance + seasonal,2025-10-25,2,2025-11-08,US,1787,5863,4076,16613776,2224.56875,0,16973,TRUE,16973
ARIMAX: surveillance + seasonal,2025-10-25,3,2025-11-15,US,2487,8248,5761,33189121,3137.09125,0,23159,TRUE,23159
ARIMAX: surveillance + seasonal,2025-11-01,1,2025-11-08,US,1787,3228,1441,2076481,875.79875,0,9023,TRUE,9023
ARIMAX: surveillance + seasonal,2025-11-01,2,2025-11-15,US,2487,5347,2860,8179600,1689.0979166666666,0,16403,TRUE,16403
