model,horizon,n_forecasts,mae,rmse,mean_wis,coverage_95,mean_width_95
ARIMAX: surveillance + seasonal,1,34,2074.323529411765,3074.1055753235437,1473.7559191176472,0.9117647058823529,10431.911764705883
Activity 5 ensemble,1,34,1859.1764705882354,3446.426375929984,1494.1756740196079,0.8823529411764706,6243.5
Activity 7 XGBoost,1,34,2604.9411764705883,5092.187562970416,1649.6413848039215,0.8823529411764706,13476.441176470587
Activity 7 XGBoost + leading indicators,1,34,2599.735294117647,4918.740707443199,1762.5560416666667,0.9117647058823529,20657.676470588234
"Blend: 50% ARIMAX, 25% ensemble, 25% ARIMA",1,34,1868.0294117647059,3166.7034399309623,1437.976580882353,0.8823529411764706,8341.20588235294
"Blend: 50% XGBoost, 25% ARIMAX, 15% ensemble, 10% ARIMA",1,34,1980.235294117647,3648.4633832373224,1333.1781250000001,0.9411764705882353,10908.617647058823
"Blend: 85% XGBoost, 15% XGBoost-leading",1,34,2541.529411764706,4941.960321929893,1620.7558210784314,0.9411764705882353,14553.85294117647
Calibrated ARIMAX,1,34,2074.323529411765,3074.1055753235437,1483.6947794117648,0.9117647058823529,12014.235294117647
Calibrated blend,1,34,1868.0294117647059,3166.7034399309623,1492.3036274509802,0.9117647058823529,12155.058823529413
"Horizon-specific: h1 XGBoost blend, h2-h3 XGBoost",1,34,1980.235294117647,3648.4633832373224,1333.1781250000001,0.9411764705882353,10908.617647058823
Original ARIMA,1,34,1954.1764705882354,3404.72344907863,1547.4478921568627,0.8823529411764706,6257.294117647059
Phase-calibrated horizon-specific,1,34,1980.235294117647,3648.4633832373224,1341.4369975490197,0.9411764705882353,8206.617647058823
ARIMAX: surveillance + seasonal,2,34,4944,6928.96517186666,3363.9448406862743,0.8823529411764706,19760.5
Activity 5 ensemble,2,34,4364.676470588235,7732.303216339344,3484.6099019607846,0.8529411764705882,12060.764705882353
Activity 7 XGBoost,2,34,3374.029411764706,6723.13138045238,2296.5439338235296,0.8823529411764706,17240.382352941175
Activity 7 XGBoost + leading indicators,2,34,5149.941176470588,8815.174163305666,3004.309117647059,0.9411764705882353,24411.764705882353
"Blend: 50% ARIMAX, 25% ensemble, 25% ARIMA",2,34,4386.911764705882,7161.579210908558,3294.304375,0.8529411764705882,15919.617647058823
"Blend: 50% XGBoost, 25% ARIMAX, 15% ensemble, 10% ARIMA",2,34,3661.823529411765,6349.221837451931,2492.9809191176473,0.9117647058823529,16579.08823529412
"Blend: 85% XGBoost, 15% XGBoost-leading",2,34,3360.4411764705883,6652.825536390314,2283.85699754902,0.9117647058823529,18315.970588235294
Calibrated ARIMAX,2,34,4944,6928.96517186666,3373.18181372549,0.9117647058823529,23327.647058823528
Calibrated blend,2,34,4386.911764705882,7161.579210908558,3386.4041176470587,0.8529411764705882,23549.058823529413
"Horizon-specific: h1 XGBoost blend, h2-h3 XGBoost",2,34,3374.029411764706,6723.13138045238,2296.5439338235296,0.8823529411764706,17240.382352941175
Original ARIMA,2,34,4407.705882352941,7925.581225670827,3531.9532720588236,0.8529411764705882,12096.558823529413
Phase-calibrated horizon-specific,2,34,3374.029411764706,6723.13138045238,2347.9768750000003,0.8529411764705882,13441.323529411764
ARIMAX: surveillance + seasonal,3,34,7125.911764705882,9622.801889568462,4760.477230392157,0.8823529411764706,26348.29411764706
Activity 5 ensemble,3,34,6071.823529411765,10939.74238055637,4837.2592769607845,0.8529411764705882,16627.264705882353
Activity 7 XGBoost,3,34,4024.294117647059,7365.864052186554,2666.560931372549,0.8823529411764706,18209.882352941175
Activity 7 XGBoost + leading indicators,3,34,6272.264705882353,10170.137405804366,3437.2272058823532,0.9411764705882353,29447.823529411766
"Blend: 50% ARIMAX, 25% ensemble, 25% ARIMA",3,34,6095.941176470588,9973.57219620639,4581.142132352941,0.8823529411764706,21501.58823529412
"Blend: 50% XGBoost, 25% ARIMAX, 15% ensemble, 10% ARIMA",3,34,4905.558823529412,8247.835560992742,3340.4721691176474,0.9117647058823529,19854.323529411766
"Blend: 85% XGBoost, 15% XGBoost-leading",3,34,4157.235294117647,7256.256416119168,2675.1005392156862,0.9117647058823529,19895.529411764706
Calibrated ARIMAX,3,34,7125.911764705882,9622.801889568462,4789.234595588236,0.9117647058823529,31810.20588235294
Calibrated blend,3,34,6095.941176470588,9973.57219620639,4749.8218750000005,0.9117647058823529,32245.79411764706
"Horizon-specific: h1 XGBoost blend, h2-h3 XGBoost",3,34,4024.294117647059,7365.864052186554,2666.560931372549,0.8823529411764706,18209.882352941175
Original ARIMA,3,34,6102.235294117647,11355.898811786295,4914.413370098039,0.8529411764705882,16682.617647058825
Phase-calibrated horizon-specific,3,34,4024.294117647059,7365.864052186554,2729.791544117647,0.8823529411764706,14742.235294117647
