reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,2
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,151
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,483
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,798
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1103
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1403
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1703
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,2008
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,2323
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,2655
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,3014
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,3413
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,3879
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,4464
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,5332
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,6085
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,6960
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,134
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,542
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1086
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,1681
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,2266
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,2852
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,3446
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,4061
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,4708
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,5407
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,6186
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,7093
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,8234
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,9926
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,11394
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,13100
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,120
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,707
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,1252
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,1768
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,2552
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,3357
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,4162
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,4980
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,5826
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,6716
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,7678
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,8749
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,9997
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,11567
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,13894
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,15914
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,18260
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,4
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,164
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,405
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,735
