model,reference_date,horizon,n_prior_errors,calibration_probability,interval_multiplier,calibration_source
Calibrated blend,2025-09-27,1,0,0.9,1,insufficient prior errors
Calibrated blend,2025-09-27,2,0,0.9,1,insufficient prior errors
Calibrated blend,2025-09-27,3,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-04,1,1,0.9,1,insufficient prior errors
Calibrated blend,2025-10-04,2,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-04,3,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-11,1,2,0.9,1,insufficient prior errors
Calibrated blend,2025-10-11,2,1,0.9,1,insufficient prior errors
Calibrated blend,2025-10-11,3,0,0.9,1,insufficient prior errors
Calibrated blend,2025-10-18,1,3,0.9,1,insufficient prior errors
Calibrated blend,2025-10-18,2,2,0.9,1,insufficient prior errors
Calibrated blend,2025-10-18,3,1,0.9,1,insufficient prior errors
Calibrated blend,2025-10-25,1,4,0.9,1,insufficient prior errors
Calibrated blend,2025-10-25,2,3,0.9,1,insufficient prior errors
Calibrated blend,2025-10-25,3,2,0.9,1,insufficient prior errors
Calibrated blend,2025-11-01,1,5,0.9,1,insufficient prior errors
Calibrated blend,2025-11-01,2,4,0.9,1,insufficient prior errors
Calibrated blend,2025-11-01,3,3,0.9,1,insufficient prior errors
Calibrated blend,2025-11-08,1,6,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-08,2,5,0.9,1,insufficient prior errors
Calibrated blend,2025-11-08,3,4,0.9,1,insufficient prior errors
Calibrated blend,2025-11-15,1,7,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-15,2,6,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-15,3,5,0.9,1,insufficient prior errors
Calibrated blend,2025-11-22,1,8,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-22,2,7,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-22,3,6,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-29,1,9,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-29,2,8,0.9,1,prior horizon-specific errors
Calibrated blend,2025-11-29,3,7,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-06,1,10,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-06,2,9,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-06,3,8,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-13,1,11,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-13,2,10,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-13,3,9,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-20,1,12,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-20,2,11,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-20,3,10,0.9,1,prior horizon-specific errors
Calibrated blend,2025-12-27,1,13,0.9,1.80756340074108,prior horizon-specific errors
Calibrated blend,2025-12-27,2,12,0.9,1.7354365899706834,prior horizon-specific errors
Calibrated blend,2025-12-27,3,11,0.9,1.5663565509634776,prior horizon-specific errors
Calibrated blend,2026-01-03,1,14,0.9,1.7536648857531658,prior horizon-specific errors
Calibrated blend,2026-01-03,2,13,0.9,1.7434209845714845,prior horizon-specific errors
Calibrated blend,2026-01-03,3,12,0.9,2.1222578003165564,prior horizon-specific errors
Calibrated blend,2026-01-10,1,15,0.9,2.100740129051798,prior horizon-specific errors
Calibrated blend,2026-01-10,2,14,0.9,2.225928626531074,prior horizon-specific errors
Calibrated blend,2026-01-10,3,13,0.9,2.1169717744289054,prior horizon-specific errors
Calibrated blend,2026-01-17,1,16,0.9,2.093107816943102,prior horizon-specific errors
Calibrated blend,2026-01-17,2,15,0.9,2.1865262025773418,prior horizon-specific errors
Calibrated blend,2026-01-17,3,14,0.9,2.1868449701181345,prior horizon-specific errors
Calibrated blend,2026-01-24,1,17,0.9,2.05971957765406,prior horizon-specific errors
Calibrated blend,2026-01-24,2,16,0.9,2.1471237786236115,prior horizon-specific errors
Calibrated blend,2026-01-24,3,15,0.9,2.1720022459303254,prior horizon-specific errors
Calibrated blend,2026-01-31,1,18,0.9,2.013453374774843,prior horizon-specific errors
Calibrated blend,2026-01-31,2,17,0.9,2.112831845447991,prior horizon-specific errors
Calibrated blend,2026-01-31,3,16,0.9,2.1571595217425172,prior horizon-specific errors
Calibrated blend,2026-02-07,1,19,0.9,1.967187171895625,prior horizon-specific errors
Calibrated blend,2026-02-07,2,18,0.9,2.081095157661426,prior horizon-specific errors
Calibrated blend,2026-02-07,3,17,0.9,2.148687929754813,prior horizon-specific errors
Calibrated blend,2026-02-14,1,20,0.9,1.9209209690164095,prior horizon-specific errors
Calibrated blend,2026-02-14,2,19,0.9,2.0493584698748606,prior horizon-specific errors
Calibrated blend,2026-02-14,3,18,0.9,2.1434019038671615,prior horizon-specific errors
Calibrated blend,2026-02-21,1,21,0.9,1.874654766137192,prior horizon-specific errors
Calibrated blend,2026-02-21,2,20,0.9,2.017621782088297,prior horizon-specific errors
Calibrated blend,2026-02-21,3,19,0.9,2.1381158779795104,prior horizon-specific errors
Calibrated blend,2026-02-28,1,22,0.9,1.8283885632579746,prior horizon-specific errors
Calibrated blend,2026-02-28,2,21,0.9,1.985885094301732,prior horizon-specific errors
Calibrated blend,2026-02-28,3,20,0.9,2.1328298520918594,prior horizon-specific errors
Calibrated blend,2026-03-07,1,23,0.9,1.7821223603787586,prior horizon-specific errors
Calibrated blend,2026-03-07,2,22,0.9,1.9541484065151669,prior horizon-specific errors
Calibrated blend,2026-03-07,3,21,0.9,2.127543826204208,prior horizon-specific errors
Calibrated blend,2026-03-14,1,24,0.9,1.7358561574995415,prior horizon-specific errors
Calibrated blend,2026-03-14,2,23,0.9,1.9224117187286032,prior horizon-specific errors
Calibrated blend,2026-03-14,3,22,0.9,2.1222578003165564,prior horizon-specific errors
Calibrated blend,2026-03-21,1,25,0.9,1.6895899546203257,prior horizon-specific errors
Calibrated blend,2026-03-21,2,24,0.9,1.890675030942038,prior horizon-specific errors
Calibrated blend,2026-03-21,3,23,0.9,2.1169717744289054,prior horizon-specific errors
Calibrated blend,2026-03-28,1,26,0.9,1.6433237517411083,prior horizon-specific errors
Calibrated blend,2026-03-28,2,25,0.9,1.858938343155474,prior horizon-specific errors
