model,scored_forecasts,mean_wis,mae,rmse,coverage_95,mean_width_95
"Horizon-specific: h1 XGBoost blend, h2-h3 XGBoost",102,2098.7609967320263,3126.1862745098038,6131.006819246498,0.9019607843137255,15452.960784313726
Phase-calibrated horizon-specific,102,2139.7351388888887,3126.1862745098038,6131.006819246498,0.8921568627450981,12130.058823529413
"Blend: 85% XGBoost, 15% XGBoost-leading",102,2193.2377859477124,3353.0686274509803,6359.672858925136,0.9215686274509803,17588.450980392157
Activity 7 XGBoost,102,2204.24875,3334.421568627451,6464.95225480148,0.8823529411764706,16308.901960784313
"Blend: 50% XGBoost, 25% ARIMAX, 15% ensemble, 10% ARIMA",102,2388.8770710784315,3515.872549019608,6367.906365548425,0.9215686274509803,15780.676470588236
Activity 7 XGBoost + leading indicators,102,2734.6974550653595,4673.980392156863,8273.109059465125,0.9313725490196079,24839.08823529412
"Blend: 50% ARIMAX, 25% ensemble, 25% ARIMA",102,3104.474362745098,4116.9607843137255,7320.937322126846,0.8725490196078431,15254.137254901962
ARIMAX: surveillance + seasonal,102,3199.392663398693,4714.745098039216,7072.458310164833,0.8921568627450981,18846.901960784315
Calibrated blend,102,3209.509873366013,4116.9607843137255,7320.937322126846,0.8921568627450981,22649.970588235294
Calibrated ARIMAX,102,3215.37039624183,4714.745098039216,7072.458310164833,0.9117647058823529,22384.029411764706
Activity 5 ensemble,102,3272.0149509803923,4098.558823529412,7986.328550447088,0.8627450980392157,11643.843137254902
Original ARIMA,102,3331.2715114379084,4154.705882352941,8233.335034134936,0.8627450980392157,11678.823529411764
