reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,178
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,395
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,439
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,502
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,516
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,540
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,543
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,624
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,796
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,956
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1115
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1272
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1424
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1585
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1759
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,1927
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,2130
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,2366
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,2612
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,2926
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,3364
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,3741
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,7916
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,305
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,687
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,860
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,1029
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,1145
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,1239
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,1257
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,1263
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,1281
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1313
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,1316
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1414
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,1481
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,1491
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,1555
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,1651
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,1665
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,1667
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,1670
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,1681
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,1828
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,2171
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,11075
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,329
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,643
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,879
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,1022
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,1179
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,1465
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,1522
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,1606
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,1642
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,1689
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,1696
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,1784
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,1797
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,2146
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,2214
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,2227
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,2266
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,2315
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,2356
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,2384
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,2463
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,2634
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,20975
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,177
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,410
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,427
