reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,178
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,395
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,439
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,502
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,516
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,540
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,543
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,624
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,796
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,956
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1115
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1272
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1424
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1585
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1759
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,1927
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,2130
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,2366
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,2612
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,2926
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,3364
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,3741
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,7916
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,152
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,344
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,430
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,514
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,572
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,620
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,628
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,699
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,911
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1199
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,1497
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1839
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,2165
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,2467
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,2807
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,3179
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,3535
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,3925
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,4380
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,4956
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,5876
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,6781
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,12086
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,164
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,322
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,440
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,511
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,590
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,732
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,821
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,1156
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,1447
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,1728
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,2123
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,2569
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,2978
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,3562
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,4019
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,4471
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,4971
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,5531
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,6175
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,6974
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,8178
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,9273
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,19617
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,177
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,410
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,427
