reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,347
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,684
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,855
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,897
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,1000
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,1040
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,1055
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,1083
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,1086
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,1094
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1104
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1143
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1158
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1165
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1177
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,1195
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,1261
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,1283
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,1298
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,1476
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,2238
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,3983
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,7019
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,364
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,565
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,816
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,916
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,975
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,996
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,1090
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,1166
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,1200
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1218
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,1232
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1286
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,1326
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,1388
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,1450
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,1537
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,1600
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,1772
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,1822
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,1872
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,2308
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,4216
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,9385
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,312
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,571
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,751
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,952
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,1085
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,1184
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,1266
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,1360
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,1494
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,1532
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,1630
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,1728
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,1928
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,1953
